"REGIONE","PROVINCIA","COMUNE","NUMERO STABILIMENTI","NUMERO ATTIVITÀ","NUMERO OPERATORI"
"EMILIA ROMAGNA","Total",NA,"19","20","18"
"EMILIA ROMAGNA","BOLOGNA","Total","4","4","3"
"EMILIA ROMAGNA","BOLOGNA","ARGELATO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","CASTELLO D'ARGILE","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","MEDICINA","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","PIANORO","1","1","1"
"EMILIA ROMAGNA","FERRARA","Total","1","1","1"
"EMILIA ROMAGNA","FERRARA","COMACCHIO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","Total","7","7","7"
"EMILIA ROMAGNA","FORLI-CESENA","BERTINORO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","GATTEO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","MELDOLA","2","2","2"
"EMILIA ROMAGNA","FORLI-CESENA","MODIGLIANA","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","PREDAPPIO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","SANTA SOFIA","1","1","1"
"EMILIA ROMAGNA","MODENA","Total","2","2","2"
"EMILIA ROMAGNA","MODENA","BOMPORTO","1","1","1"
"EMILIA ROMAGNA","MODENA","SAN PROSPERO","1","1","1"
"EMILIA ROMAGNA","PIACENZA","Total","1","1","1"
"EMILIA ROMAGNA","PIACENZA","ALSENO","1","1","1"
"EMILIA ROMAGNA","RAVENNA","Total","1","1","1"
"EMILIA ROMAGNA","RAVENNA","CERVIA","1","1","1"
"EMILIA ROMAGNA","REGGIO NELL'EMILIA","Total","1","2","1"
"EMILIA ROMAGNA","REGGIO NELL'EMILIA","ALBINEA","1","2","1"
"EMILIA ROMAGNA","RIMINI","Total","2","2","2"
"EMILIA ROMAGNA","RIMINI","RIMINI","2","2","2"
"LOMBARDIA","Total",NA,"71","73","64"
"LOMBARDIA","BERGAMO","Total","15","15","14"
"LOMBARDIA","BERGAMO","ARZAGO D'ADDA","1","1","1"
"LOMBARDIA","BERGAMO","CALCIO","1","1","1"
"LOMBARDIA","BERGAMO","CASTIONE DELLA PRESOLANA","1","1","1"
"LOMBARDIA","BERGAMO","CIVIDATE AL PIANO","1","1","1"
"LOMBARDIA","BERGAMO","COLOGNO AL SERIO","1","1","1"
"LOMBARDIA","BERGAMO","GRUMELLO DEL MONTE","1","1","1"
"LOMBARDIA","BERGAMO","MAPELLO","1","1","1"
"LOMBARDIA","BERGAMO","MONASTEROLO DEL CASTELLO","1","1","1"
"LOMBARDIA","BERGAMO","MOZZANICA","2","2","1"
"LOMBARDIA","BERGAMO","OLTRE IL COLLE","1","1","1"
