"REGIONE","PROVINCIA","COMUNE","NUMERO STABILIMENTI","NUMERO ATTIVITÀ","NUMERO OPERATORI"
"EMILIA ROMAGNA","Total",NA,"34","34","33"
"EMILIA ROMAGNA","BOLOGNA","Total","4","4","4"
"EMILIA ROMAGNA","BOLOGNA","MALALBERGO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","SALA BOLOGNESE","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","SAN BENEDETTO VAL DI SAMBRO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","SASSO MARCONI","1","1","1"
"EMILIA ROMAGNA","FERRARA","Total","2","2","2"
"EMILIA ROMAGNA","FERRARA","RIVA DEL PO","1","1","1"
"EMILIA ROMAGNA","FERRARA","TERRE DEL RENO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","Total","7","7","7"
"EMILIA ROMAGNA","FORLI-CESENA","BERTINORO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","CASTROCARO TERME E TERRA DEL SOLE","2","2","2"
"EMILIA ROMAGNA","FORLI-CESENA","MERCATO SARACENO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","RONCOFREDDO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","SARSINA","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","SOGLIANO AL RUBICONE","1","1","1"
"EMILIA ROMAGNA","MODENA","Total","2","2","1"
"EMILIA ROMAGNA","MODENA","CASTELVETRO DI MODENA","1","1","1"
"EMILIA ROMAGNA","MODENA","MARANELLO","1","1","1"
"EMILIA ROMAGNA","PARMA","Total","13","13","13"
"EMILIA ROMAGNA","PARMA","BARDI","1","1","1"
"EMILIA ROMAGNA","PARMA","BERCETO","1","1","1"
"EMILIA ROMAGNA","PARMA","BORE","1","1","1"
"EMILIA ROMAGNA","PARMA","BORGO VAL DI TARO","1","1","1"
"EMILIA ROMAGNA","PARMA","CORNIGLIO","1","1","1"
"EMILIA ROMAGNA","PARMA","FIDENZA","1","1","1"
"EMILIA ROMAGNA","PARMA","MEDESANO","2","2","2"
"EMILIA ROMAGNA","PARMA","NEVIANO DEGLI ARDUINI","1","1","1"
"EMILIA ROMAGNA","PARMA","NOCETO","1","1","1"
"EMILIA ROMAGNA","PARMA","PELLEGRINO PARMENSE","1","1","1"
"EMILIA ROMAGNA","PARMA","VARANO DE' MELEGARI","1","1","1"
"EMILIA ROMAGNA","PARMA","VARSI","1","1","1"
"EMILIA ROMAGNA","PIACENZA","Total","4","4","4"
"EMILIA ROMAGNA","PIACENZA","CADEO","1","1","1"
