"REGIONE","PROVINCIA","COMUNE","NUMERO STABILIMENTI","NUMERO ATTIVITÀ","NUMERO OPERATORI"
"EMILIA ROMAGNA","Total",NA,"95","96","94"
"EMILIA ROMAGNA","BOLOGNA","Total","14","14","13"
"EMILIA ROMAGNA","BOLOGNA","ARGELATO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","BARICELLA","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","BOLOGNA","2","2","2"
"EMILIA ROMAGNA","BOLOGNA","CAMUGNANO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","CASTEL D'AIANO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","CASTEL MAGGIORE","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","CASTEL SAN PIETRO TERME","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","FONTANELICE","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","MARZABOTTO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","MONZUNO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","SAN GIORGIO DI PIANO","1","1","1"
"EMILIA ROMAGNA","BOLOGNA","SAN LAZZARO DI SAVENA","2","2","2"
"EMILIA ROMAGNA","FERRARA","Total","6","6","6"
"EMILIA ROMAGNA","FERRARA","ARGENTA","1","1","1"
"EMILIA ROMAGNA","FERRARA","BONDENO","1","1","1"
"EMILIA ROMAGNA","FERRARA","CENTO","1","1","1"
"EMILIA ROMAGNA","FERRARA","COMACCHIO","1","1","1"
"EMILIA ROMAGNA","FERRARA","FERRARA","1","1","1"
"EMILIA ROMAGNA","FERRARA","TERRE DEL RENO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","Total","12","13","13"
"EMILIA ROMAGNA","FORLI-CESENA","BAGNO DI ROMAGNA","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","BERTINORO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","CASTROCARO TERME E TERRA DEL SOLE","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","CESENA","2","2","2"
"EMILIA ROMAGNA","FORLI-CESENA","FORLI'","3","4","4"
"EMILIA ROMAGNA","FORLI-CESENA","GATTEO","1","1","1"
"EMILIA ROMAGNA","FORLI-CESENA","MODIGLIANA","1","1","1"
