"x","y","no2_avg_22"
4335500,2611500,3.24879002571106
4336500,2611500,3.22631239891052
4337500,2611500,3.18293023109436
4338500,2611500,3.16232585906982
4339500,2611500,3.0507435798645
4333500,2610500,3.17256879806519
4334500,2610500,3.17847347259521
4335500,2610500,3.21372556686401
4336500,2610500,3.17580461502075
4337500,2610500,3.1417384147644
4338500,2610500,3.11875867843628
4339500,2610500,3.03485536575317
4340500,2610500,3.02268362045288
4341500,2610500,3.02140712738037
4331500,2609500,2.99745202064514
4332500,2609500,3.0500214099884
4333500,2609500,3.15805578231812
4334500,2609500,3.20289993286133
4335500,2609500,3.24459457397461
4336500,2609500,3.17989230155945
4337500,2609500,3.17139911651611
4338500,2609500,3.13321614265442
4339500,2609500,3.04486703872681
4340500,2609500,3.02681064605713
4341500,2609500,3.02595663070679
4342500,2609500,3.01612854003906
4343500,2609500,3.04007863998413
4329500,2608500,3.00440311431885
4330500,2608500,3.05064582824707
4331500,2608500,3.11371493339539
4332500,2608500,3.1251232624054
4333500,2608500,3.22544527053833
4334500,2608500,3.23938894271851
4335500,2608500,3.22218227386475
4336500,2608500,3.21129965782166
4337500,2608500,3.17789649963379
4338500,2608500,3.14381194114685
4339500,2608500,3.03737616539001
4340500,2608500,3.02922105789185
4341500,2608500,3.05257368087769
4342500,2608500,3.00808119773865
4343500,2608500,3.01635789871216
4344500,2608500,3.22432732582092
4328500,2607500,3.00318956375122
4329500,2607500,3.12192153930664
4330500,2607500,3.16582345962524
4331500,2607500,3.20533609390259
4332500,2607500,3.24518823623657
4333500,2607500,3.30293750762939
4334500,2607500,3.35431814193726
4335500,2607500,3.30559754371643
4336500,2607500,3.24468922615051
4337500,2607500,3.20235466957092
4338500,2607500,3.19156432151794
4339500,2607500,3.06687545776367
4340500,2607500,3.07396864891052
4341500,2607500,3.08137059211731
4342500,2607500,3.08978867530823
4343500,2607500,3.05771541595459
4344500,2607500,3.19867563247681
4345500,2607500,3.24959421157837
4346500,2607500,3.37013268470764
4328500,2606500,3.1687867641449
4329500,2606500,3.27409267425537
4330500,2606500,3.34909439086914
4331500,2606500,3.42147827148438
4332500,2606500,3.41733288764954
4333500,2606500,3.44740509986877
4334500,2606500,3.42907381057739
4335500,2606500,3.38156700134277
4336500,2606500,3.31488513946533
4337500,2606500,3.27339315414429
4338500,2606500,3.19937205314636
4339500,2606500,3.07721590995789
4340500,2606500,3.1054515838623
4341500,2606500,3.12656593322754
4342500,2606500,3.12475156784058
4343500,2606500,3.15380859375
4344500,2606500,3.31768918037415
