"x","y","EEA_1kmgrid_2017_pm25_avg"
4509500,2621500,4.38866996765137
4510500,2621500,4.2891001701355
4511500,2621500,4.30251979827881
4512500,2621500,4.17135000228882
4513500,2621500,4.14437007904053
4514500,2621500,4.18495988845825
4515500,2621500,4.23984003067017
4516500,2621500,4.32316017150879
4507500,2620500,4.51635980606079
4508500,2620500,4.4943699836731
4509500,2620500,4.45329999923706
4510500,2620500,4.33785009384155
4511500,2620500,4.41219997406006
4512500,2620500,4.34959983825684
4513500,2620500,4.28596019744873
4514500,2620500,4.20403003692627
4515500,2620500,4.22058010101318
4516500,2620500,4.27609014511108
4517500,2620500,4.27820014953613
4518500,2620500,4.39495992660522
4519500,2620500,4.43915987014771
4520500,2620500,4.30208015441895
4521500,2620500,4.24422979354858
4522500,2620500,4.27612018585205
4523500,2620500,4.38168001174927
4524500,2620500,4.33362007141113
4506500,2619500,4.58127021789551
4507500,2619500,4.58121013641357
4508500,2619500,4.55202007293701
4509500,2619500,4.52850008010864
4510500,2619500,4.38566017150879
4511500,2619500,4.41359996795654
4512500,2619500,4.4382700920105
4513500,2619500,4.42253017425537
4514500,2619500,4.37612009048462
4515500,2619500,4.27384996414185
4516500,2619500,4.18000984191895
4517500,2619500,4.22736978530884
4518500,2619500,4.33549976348877
4519500,2619500,4.27103996276855
4520500,2619500,4.19805002212524
4521500,2619500,4.2423300743103
4522500,2619500,4.22560977935791
4523500,2619500,4.25034999847412
4524500,2619500,4.2111701965332
4525500,2619500,4.16741991043091
4526500,2619500,4.20321989059448
4527500,2619500,4.2851300239563
4528500,2619500,4.66599988937378
4480500,2618500,4.14438009262085
4481500,2618500,4.13637018203735
4504500,2618500,4.78659009933472
4505500,2618500,4.55583000183105
4506500,2618500,4.60388994216919
4507500,2618500,4.62981986999512
4508500,2618500,4.65047979354858
4509500,2618500,4.61347007751465
4510500,2618500,4.48741006851196
4511500,2618500,4.38107013702393
4512500,2618500,4.36921977996826
4513500,2618500,4.35824012756348
4514500,2618500,4.44671010971069
4515500,2618500,4.38936996459961
4516500,2618500,4.29925012588501
4517500,2618500,4.19188976287842
4518500,2618500,4.25963020324707
4519500,2618500,4.38756990432739
