"x","y","o3_aot40f_22"
4057000,2611000,41294.1640625
4059000,2611000,42036.7578125
4061000,2611000,43512.97265625
4063000,2611000,44898.125
4065000,2611000,46043.8671875
4067000,2611000,46487.25
4069000,2611000,43450.0078125
4071000,2611000,43351.31640625
4073000,2611000,42438.55859375
4075000,2611000,40107.125
4077000,2611000,36095.26171875
4079000,2611000,37457.10546875
4081000,2611000,38637.984375
4083000,2611000,37947.1953125
4085000,2611000,37085.15234375
4087000,2611000,41587.34765625
4089000,2611000,43172.4453125
4091000,2611000,40064.71484375
4093000,2611000,40461.5390625
4095000,2611000,36881.5703125
4097000,2611000,33688.30078125
4099000,2611000,35762.31640625
4101000,2611000,43424
4103000,2611000,41578.875
4105000,2611000,41558.69140625
4107000,2611000,43143.7890625
4109000,2611000,44410.27734375
4111000,2611000,44287.8984375
4113000,2611000,41257.796875
4115000,2611000,40501.203125
4117000,2611000,39421.15234375
4119000,2611000,35703.6796875
4121000,2611000,36546.66796875
4123000,2611000,44280.23828125
4125000,2611000,44800.04296875
4127000,2611000,41534.828125
4129000,2611000,38149.4921875
4131000,2611000,44727.9921875
4133000,2611000,39770.18359375
4135000,2611000,46939.58203125
4137000,2611000,43142.828125
4139000,2611000,33204.33984375
4141000,2611000,29166.689453125
4143000,2611000,36364.41015625
4145000,2611000,36337.21484375
4147000,2611000,34681.203125
4149000,2611000,45906.70703125
4151000,2611000,46009.4609375
4153000,2611000,50453.8671875
4155000,2611000,51463.5703125
4157000,2611000,46368.73046875
4159000,2611000,41213.86328125
4161000,2611000,32944.55859375
4163000,2611000,43408.85546875
4165000,2611000,45100.515625
4167000,2611000,42963.37109375
4169000,2611000,48839.2265625
4171000,2611000,47091.546875
4173000,2611000,43283.0546875
4175000,2611000,57633.078125
4177000,2611000,65743.84375
4179000,2611000,57612.43359375
4181000,2611000,59623.3203125
4183000,2611000,56579.44140625
4185000,2611000,56593.3984375
4187000,2611000,55567.375
4189000,2611000,52594.35546875
4191000,2611000,47080.78125
4193000,2611000,46569.046875
4195000,2611000,57235.28125
4197000,2611000,54880.33203125
4199000,2611000,59751.54296875
4201000,2611000,56387.91015625
4203000,2611000,51899.453125
4205000,2611000,47438.265625
4207000,2611000,42076.37890625
4209000,2611000,45496.23828125
