"LI_BUF_TOTAL_SUM","LI_SUINI_CAPI_SUM","LI_BUF_MEAT_mean","LI_BUF_MILK_mean","LI_BUF_MIXED_mean","ASR","Year"
147,73,13,4.625,0.75,"ALTA BRIANZA",2011
149,80,13.25,4.25,1.125,"ALTA BRIANZA",2012
161,66,15,4.25,0.875,"ALTA BRIANZA",2013
154,67,13.5,5,0.75,"ALTA BRIANZA",2014
156,95,14.7142857142857,6.42857142857143,1.14285714285714,"ALTA BRIANZA",2015
152,98,13,4.75,1.25,"ALTA BRIANZA",2016
129,131,12.5714285714286,4.57142857142857,1.28571428571429,"ALTA BRIANZA",2017
109,119,10.2857142857143,4.85714285714286,0.428571428571429,"ALTA BRIANZA",2018
122,85,11.7142857142857,4.57142857142857,1.14285714285714,"ALTA BRIANZA",2019
125,80,10.1428571428571,4,3.71428571428571,"ALTA BRIANZA",2020
119,61,9.71428571428571,4.42857142857143,2.85714285714286,"ALTA BRIANZA",2021
112,54,9.85714285714286,3.57142857142857,2.57142857142857,"ALTA BRIANZA",2022
127,27,10.5714285714286,5.28571428571429,2.28571428571429,"ALTA BRIANZA",2023
116,29,8.5,3.66666666666667,7.16666666666667,"ALTA BRIANZA",2024
1168,365,7,67.4,3.46666666666667,"ALTA VAL CAMONICA",2011
1163,294,6.86666666666667,66.4,4.26666666666667,"ALTA VAL CAMONICA",2012
1127,306,8.53333333333333,62.8666666666667,3.73333333333333,"ALTA VAL CAMONICA",2013
1177,272,6.93333333333333,65.9333333333333,5.6,"ALTA VAL CAMONICA",2014
1111,285,8.26666666666667,59.7333333333333,6.06666666666667,"ALTA VAL CAMONICA",2015
1113,277,7.26666666666667,57.4666666666667,9.46666666666667,"ALTA VAL CAMONICA",2016
1066,272,8.13333333333333,53.4,9.53333333333333,"ALTA VAL CAMONICA",2017
1074,310,6.53333333333333,56.1333333333333,8.93333333333333,"ALTA VAL CAMONICA",2018
1086,337,3.6,57.3333333333333,11.4666666666667,"ALTA VAL CAMONICA",2019
1062,366,6.4,49.5333333333333,14.8666666666667,"ALTA VAL CAMONICA",2020
1044,335,4.93333333333333,54.0666666666667,10.6,"ALTA VAL CAMONICA",2021
1128,189,4.66666666666667,59.5333333333333,11,"ALTA VAL CAMONICA",2022
1116,141,9.14285714285714,60.6428571428571,9.92857142857143,"ALTA VAL CAMONICA",2023
